Source,reco_path,Time,Flag
2020-10-25 14-24-05,./192.168.20.56/2020-10-25 14-24-05.avi,2020-10-25 14-24-05,False
2020-10-25 14-24-10,./192.168.20.56/2020-10-25 14-24-10.avi,2020-10-25 14-24-10,False
2020-10-25 14-24-15,./192.168.20.56/2020-10-25 14-24-15.avi,2020-10-25 14-24-15,False
2020-10-25 14-24-20,./192.168.20.56/2020-10-25 14-24-20.avi,2020-10-25 14-24-20,False
2020-10-25 14-24-25,./192.168.20.56/2020-10-25 14-24-25.avi,2020-10-25 14-24-25,False
2020-10-25 16-35-26,../Record_test/192.168.20.56/2020-10-25 16-35-26.avi,2020-10-25 16-35-26,False
2021-08-16 23-21-50,/home/hogi/hdd/test/2021-08-16 23-21-50.mp4,2021-08-16 23-21-50,False
